citation,agency,organization,journal,university,book
"• Rogers, P. C., P. Rosentreter, R. J. Ryel. 2007. Evansia, 24: 34-41. ",,,Evansia,,
"• Fettig, C.J., K.D. Klepzig, R.F. Billings, A.S. Munson, T.E. Nebeker, J.G. Negron, J.T. Nowak. 2007. The effectiveness of vegetation management practices for prevenetion and control of bark beetle infestations in coniferous forests of the western and southern United States. Forest Ecology and Management 238, 24-53. ",,,Forest Ecology and Management,,
"• Long J.N., 2009. Emulating natural disturbance regimes as a basis for forest management: A North American view. Forest Ecology and Management 257 (2009) 1868-1873 ",,,Forest Ecology and Management,,
"• Marcoux, H.M, L. D. Daniels, S. E. Gergel, E. D. Silva, Z. Gedalof, and P. F. Hessburg. 2015. Differentiating mixed- and high- severity fire regimes in mixed-conifer forests of the Canadian Cordillera. Forest Ecology and Management 341, 45-58.",,,Forest Ecology and Management,,
"• Ponder Jr, Felix, et al. ""Effects of organic matter removal, soil compaction and vegetation control on 10th year biomass and foliar nutrition: LTSP continent-wide comparisons."" Forest Ecology and Management278 (2012): 35-54 ",,,Forest Ecology and Management,,
"• Swanson, M. E., Franklin, J. F., Beschta, R. L., Crisafulli, C. M., DellaSala D. A., Hutto, R. L., Lindenmayer, D. B., Swanson, F. J. 2011. The forgotten stage of forest succession: early-successional ecosystems on forest sites. Frontiers in Ecology and the Environment: 9, 117-125. ",,,Frontiers in Ecology and the Environment,,
"• Falk, D. A. 2006. Process-centered restoration in a fire-adapted ponderosa pine forest. Journal for Nature Conservation: 14, 140-151. ",,,Journal for Nature Conservation,,
"• Potts, S.G., Vulliamy, B., Dafni, A., Ne’eman, G., O’Toole, C., Roberts, S., and Willmer, Pat. 2003. Response of plant pollinator communities to fire: changes in diversity, abundance and floral reward structure. Oikos: 101, 103-112. Agee, J. K., 1998. The landscape ecology of western forest fire regimes. Northwest Sci. 72, 24–34 ",,,Northwest Science,,
"• Bartos, D.L., 2001. Landscape Dynamics of Aspen and Conifer Forests. In: RMRS-P-18, Sustaining Aspen in Western Landscapes: Symposium Proceedings. May 2001, pp. 5- 14 ",,,Sustaining Aspen in Western Landscapes: Symposium Proceedings,,
"• Campbell Jr., RB and Bartos, DL. 2001. Aspen ecosystems: objectives for sustaining biodiversity. WD Shepperd et al (compilers).Sustaining Aspen in Western Landscapes: Symposium Proceedings. Proceedings RMRS-P-18. U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station. Fort Collins, CO. ",,,Sustaining Aspen in Western Landscapes: Symposium Proceedings,,
"• Long. J.N. 2003. Diversity, complexity and interactions: an overview of Rocky Mountain forest ecosystems. Tree Physiology, 23: 1091-1099. ",,,Tree Physiology,,
"• Barrett, S., 1994. Fire regimes on the Caribou National Forest, Southeastern Idaho. ",Forest Service,,,,
"• Barrett, S., Havlina, D., Jones, J., Hann, W., Frame, C., Hamilton, D., Schon, K., Demeo, T., Hutter, L., and Menakis, J. 2010. Interagency Fire Regime Condition Class Guidebook. Version 3.0 [Homepage of the Interagency Fire Regime Condition Class website, USDA Forest Service, US Department of the Interior. The Nature Conservancy. ",Forest Service,,,,
"• Beck, M.W., 2016a. Caribou N.F. Cstands, Development of Caribou National Forest’s Existing Vegetation GIS Data (draft). U.S.F.S. Montpelier, R.D. Electronic File, unpublished. ",Forest Service,,,,
"• Beck, M.W., 2016b. Caribou N. F. Forest Structural Stage Assessment. USFS Montpelier Ranger District. Electronic File. ",Forest Service,,,,
"• Beck, M.W., 2018. John Wood Forest Management Project Forest Vegetation Specialist Report. Soda Springs Ranger District. Caribou-Targhee National Forest. Electronic File, unpublished. ",Forest Service,,,,
"• Beck, M.W., 2018b. John Wood Snag Assessment. Soda Springs Ranger District. Caribou-Targhee National Forest. Electronic File, unpublished. ",Forest Service,,,,
"• Colt, C. and D. Green. 2012. Analysis of Capable and Suitable Habitat for Management Indicator Species on the Caribou National Forest. Caribou-Targhee National Forest. ",Forest Service,,,,
"• Graham, Russell T.; Harvey, Alan E.; Jurgensen, Martin F.; Jain, Theresa B.; Tonn, Jonalea R.; Page-Dumroese, Deborah S. 1994. Managing coarse woody debris in forests of the Rocky Mountains. Res. Pap. INT-RP-477. Ogden, UT: U.S. Department of Agriculture, Forest Service, Intermountain Research Station. Idaho Department of Fish and Game. ",Forest Service,,,,
"• Green, D. 2018. John Wood Forest Management Project Wildlife Specialist Report. Soda Springs Ranger District. Caribou-Targhee National Forest. Electronic File, unpublished ",Forest Service,,,,
"• Green, K. 2018. John Wood Forest Management Project Soils Specialist Report. Soda Springs Ranger District. Caribou-Targhee National Forest. Electronic File, unpublished. ",Forest Service,,,,
"• Groves, C.R., B. Butterfield, A. Lippincott, B. Csuti, and J. M. Scott. 1997. Atlas of Idaho's Wildlife: Integrating Gap Analysis and Natural Heritage Information. The nature conservancy. ",,Organization,,,
"• Hayden, J., G. Ardt, M. Fleming, T. W. Keegan, J. Peek, T. O. Smith, and A. Wood. 2008. Habitat Guidelines for Mule Deer: Northern Forest Ecoregion. Mule Deer Working Group, Western Association of Fish and Wildlife Agencies. USA ",,Organization,,,
"• Hood, Sharon M.; Miller, Melanie, editors. 2007. Fire ecology and management of the major ecosystems of southern Utah. Gen. Tech. Rep. RMRS-GTR-202. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, 110. ",Forest Service,,,,
"• Hunter, M.L. 1990. Wildlife, forests, and forestry. Principles of maintaining forests for biological diversity. Print. Regents/Prentice Hall, New Jersey 07632. ",,,,,Book
• Idaho Birding Trail. 2016. Online Reference: http://fishandgame.idaho.gov/ifwis/ibt/pub.aspx?id=ibas ,Idaho Department of Fish and Game,,,,
• Idaho department of Fish and Game. 2005. Spotted Bat (Euderma maculatum). ,Idaho Department of Fish and Game,,,,
• Idaho department of Fish and Game. 2005b. Townsend's Big-eared Bat (Corynorhinus townsendii). ,Idaho Department of Fish and Game,,,,
"• Idaho Department of Fish and Game. 2008. Mule Deer Management Plan, 2008-2017. Idaho Department of Fish and Game, Boise, USA. ",Idaho Department of Fish and Game,,,,
"• Idaho Department of Fish and Game. 2014a. Management plan for the conservation of wolverines in Idaho. Idaho Department of Fish and Game, Boise, USA. ",Idaho Department of Fish and Game,,,,
"• Idaho Department of Fish and Game. 2014. Idaho Elk Management Plan 2014-2024. Idaho Department of Fish and Game, Boise, USA. ",Idaho Department of Fish and Game,,,,
"• Idaho Department of Fish and Game. 2015. Management plan for the conservation of Columbian sharp-tailed grouse in Idaho 2015-2025. Idaho Department of Fish and Game, Boise, USA. ",Idaho Department of Fish and Game,,,,
"• Idaho Fish and Game. 2018. Big Game Monitoring. Newsletter. Idaho, USA. ",Idaho Department of Fish and Game,,,,
"• Interagency Fire Regime Condition Class Guidebook, version 1.1. 2004. Interagency and The Nature Conservancy fire regime condition class website. USDA Forest Service, US Department of the Interior, The Nature ",Forest Service,,,,
• Intermountain West Joint Venture and Idaho Steering Committee. 2005. Coordinated Implement Plan for Bird Conservation in Idaho. 2005:2. ,,Organization,,,
"• IPCC, 2007: Climate Change 2007: Impacts, Adaptation and Vulnerability. Contribution of Working Group II to the Fourth Assessment Report of the Intergovernmental Panel on Climate Change, M.L. Parry, O.F. Canziani, J.P. Palutikof, P.J. van der Linden and C.E. Hanson, Eds., Cambridge University Press, Cambridge, UK, 976pp. ",,Organization,,,
"• Jorgensen, C.L. 2016. Wood-Johnson Forest Vegetation Project Evaluation for Insect and Disease Concerns. BFO-TR-2016-16. Caribou-Targhee National Forest, Montpelier Ranger District. ",Forest Service,,,,
"• Keane, R. 2017. Disturbance regimes and the historical range and variation in terrestrial ecosystems. Rocky Mountain Research Station, Missoula Fire Sciences Laboratory, Missoula, MT, USA. ",,Organization,,,
"• Laprevote, 2018. John Wood Forest Management Project Hydrology Specialist Report. Soda Springs Ranger District. Caribou-Targhee National Forest. Electronic File, unpublished. ",Forest Service,,,,
"• Lehman, R. 2018. Biological Evaluation (BE) for Forest Service R4 Sensitive Plant Species for John Wood Timber Management Project. Soda Springs Ranger District- Caribou-Targhee National Forest. Report. ",Forest Service,,,,
"• Lowrey, L.L. 2017. ""Field Visit"". Personal Communication. USFS Intermountain Region. Electronic File. ",Forest Service,,,,
"• Miller, K.E.G., R. Dixon, and C.E. Harris. 2005. Idaho Bat Conservation Plan. DRAFT. Idaho Bat Working Group. Boise, Idaho. 143pp. ",,Organization,,,
"• Moulton, Colleen. 2008. Idaho Peregrine Falcon Survey and Nest Monitoring. 2007 Annual Report. Idaho Department of Fish and Game. ",Idaho Department of Fish and Game,,,,
"• Moulton, Colleen. 2008b. Idaho Peregrine Falcon Survey and Nest Monitoring. 2008 Annual Report. Idaho Department of Fish and Game. ",Idaho Department of Fish and Game,,,,
"• Newlon, K. R., and V.A. Saab. 2011. Nest-site selection and nest survival of Lewis's Woodpecker in aspen riparian woodlands. The Condor, 113: 183-193. ",,Organization,,,
"• North, M., Stine, P., O’Hara, K., Zielinski, W., Stephens, S. 2009. An ecosystem management strategy for sierra mixed-conifer forests. USDA FS General Technical Report, PSW-GTR-220. ",Forest Service,,,,
"• Reynolds, R. T., Sanchez Meador, A. J., Youtz, J. A., Nicolet, T., Matonis, M. S., Jackson, P. L., DeLorenzo, D. G., Graves, A. D. 2013. Restoring composition and structure in southwestern frequent-fire forests: A science-based framework for improving ecosystem resiliency. USDA FS General Technical Report, RMRS-GTR-310. ",Forest Service,,,,
"• Shepperd, Wayne D.; Binkley, Dan; Bartos, Dale L.; Stohlgren, Thomas J.; and Eskew, Lane G., compilers. 2001. Sustaining Aspen in Western Landscapes: Symposium Proceedings; 13–15June 2000; Grand Junction, CO. Proceedings RMRS-P-18. Fort Collins, CO: U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station, 460 ",Forest Service,,,,
"• Steele, Robert et al. 1996. Stand hazard rating for central Idaho forests. USDA Forest Service, Intermountain Research Station, Ogden UT. General Technical Report INT-GTR-332Steele, Robert et al. 1996. Stand hazard rating for central Idaho forests. USDA Forest Service. ",Forest Service,,,,
"• USDA-FS. 1993. Characteristics of Old-Growth Forests in the Intermountain Region. Intermountain Region. Ogden, Utah. 85 pgs. ",Forest Service,,,,
"• USDA-FS. 2003a. (RFP-EIS). Final Environmental Impact Statement for the Revised Land and Resource Management Plan for the Caribou National Forest, Forest Service. Idaho Falls, Idaho. ",Forest Service,,,,
"• USDA-FS. 2003b. (RFP). Land and Resource Management Plan for the Caribou National Forest, Forest Service. ",Forest Service,,,,
"• USDA-FS. 2005. Travel Management; Designated Routes and Areas for Motor Vehicle Use. Federal Register. Vol. 70, No. 216. ",Forest Service,,,,
"• USDA-FS. 2008. Aspen Range Timber Sale and Vegetation Treatment. Environmental Impact Statement. Caribou-Targhee National Forest, Idaho. Electronic File. ",Forest Service,,,,
"• USDA-FS. 2010. Wildlife White Paper. Caribou National Forest. Montpelier, Soda Springs, and Westside Ranger Districts. ",Forest Service,,,,
"• USDA-FS. 2015. Greater Sage-grouse record of decision: Idaho, Southwest Montana, Nevada, Utah. ",Forest Service,,,,
• USDA-FS. 2016. Forest Plan Monitoring Report- Northern Goshawk Nest Territory Occupancy. Caribou-Targhee National Forest. ,Forest Service,,,,
• USDA-FS and USFWS. 2008. FS Agreement #08-MU-1113-2400-262. Memorandum of understanding between the U.S. Department of Agriculture Forest Service and the U.S. Fish and Wildlife Service to promote the conservation of migratory birds. ,Forest Service,,,,
"• USFWS. 2010. Endangered and threatened wildlife and plants; 12-month finding on a petition to list the North American wolverine as endangered or threatened. Vol. 75, No.239. ",US FWS,,,,
"• USFWS Federal Register. 2011. Endangered and threatened wildlife and plants; reissuance of final rule to identify the northern rocky mountain population of gray wolf as a distinct population segment and to revise the list of endangered and threatened wildlife. Vol. 76, No. 87. ",US FWS,,,,
• USFWS. 2012. Trumpeter Swan Survey of the Rocky Mountain Population. USFWS. ,US FWS,,,,
• USFWS. 2014a. North American Wolverine (Gulo gulo luscus). Species Report. Profile.http://ecos.fws.gov/speciesProfile/profile/speciesProfile.action?spcode=A0FA ,US FWS,,,,
"• USFWS. 2015. Endangered and Threatened Wildlife and Plants; 12-month finding on a petition to list greater sag-grouse (Centrocercus urophasianus) as an endangered or threatened species. Vo. 80, No. 191. ",US FWS,,,,
"• USFWS, Idaho Department of Fish and Game, Montana Fish, Wildlife & Parks, Wyoming Game and Fish Department, Nez Perce Tribe, National Park Service, Blackfeet Nation, Confederated Salish and Kootenai Tribes, Wind River Tribes, Confederated Colville Tribes, Spokane Tribe of Indians, Washington Department of Fish and Wildlife, Oregon Department of Fish and Wildlife, Utah Department of Natural Resources, and USDA Wildlife Services. 2015. Northern Rocky Mountain Wolf Recovery Program 2014 Interagency Annual Report ",US FWS,,,,